Probabilidade de Cruzamento,Elites,Probabilidade de Mutacao,Geracoes,Tamanho da Populacao,Individuo de Melhor Aptidao,Aptidao Media
1.00,0,0.10,25,75,13115196.00,8144314.08
0.80,0,0.10,25,75,12559485.00,8660596.67
0.60,0,0.10,25,75,12929368.00,7348284.53
1.00,2,0.01,25,75,13427006.00,10228585.81
0.80,2,0.01,25,75,13264770.00,10200476.17
0.60,2,0.01,25,75,13365852.00,9734115.59
1.00,2,0.05,25,75,13424518.00,10746034.37
0.80,2,0.05,25,75,13210560.00,9441853.44
0.60,2,0.05,25,75,13428915.00,8128323.67
1.00,2,0.10,25,75,13361183.00,9108141.24
0.80,2,0.10,25,75,13389244.00,9612945.96
0.60,2,0.10,25,75,13310972.00,8178307.41
1.00,2,0.01,25,75,13329774.00,12764911.95
0.80,2,0.01,25,75,13174144.00,11257190.57
0.60,2,0.01,25,75,13267000.00,10936872.07
1.00,2,0.05,25,75,13180107.00,9427483.05
0.80,2,0.05,25,75,13363667.00,9407636.29
0.60,2,0.05,25,75,13153016.00,7564346.04
1.00,2,0.10,25,75,13352839.00,11187337.72
0.80,2,0.10,25,75,13141257.00,9743162.13
0.60,2,0.10,25,75,13164161.00,8373737.71
1.00,6,0.01,25,75,13327833.00,12177080.88
0.80,6,0.01,25,75,13384431.00,13337872.57
0.60,6,0.01,25,75,13198990.00,11699160.11
1.00,6,0.05,25,75,13323298.00,11582146.61
0.80,6,0.05,25,75,13305959.00,10757861.96
0.60,6,0.05,25,75,13226871.00,12187730.67
1.00,6,0.10,25,75,13413521.00,10486803.72
0.80,6,0.10,25,75,13244916.00,9612691.85
0.60,6,0.10,25,75,13375684.00,9810562.91
1.00,10,0.01,25,75,13282001.00,11776649.88
0.80,10,0.01,25,75,13281694.00,12974753.55
0.60,10,0.01,25,75,13124981.00,11584606.07
1.00,10,0.05,25,75,13303535.00,12469851.89
0.80,10,0.05,25,75,13352902.00,10956362.05
0.60,10,0.05,25,75,13436707.00,12671411.61
1.00,10,0.10,25,75,13432578.00,11929079.51
